date,file,height,width,dtype,crs,n_valid_pixels,n_positive_pixels,positive_fraction,has_fire,confidence_min,confidence_max,confidence_mean,t21_min,t21_max,t21_mean
2020-09-09,gs://wildfire-detection-first/firms_daily_geotiff/2020-09-09.tif,1056,1153,float32,EPSG:4326,7340,7340,1.0,1,6.0,100.0,88.7423324584961,300.1000061035156,505.70001220703125,363.8190002441406
2020-09-08,gs://wildfire-detection-first/firms_daily_geotiff/2020-09-08.tif,1056,1153,float32,EPSG:4326,5337,5337,1.0,1,5.0,100.0,89.80525207519531,300.6000061035156,507.0,378.1725769042969
2020-08-20,gs://wildfire-detection-first/firms_daily_geotiff/2020-08-20.tif,1056,1153,float32,EPSG:4326,5045,5045,1.0,1,6.0,100.0,88.42874145507812,300.5,500.0,350.2404479980469
2020-09-10,gs://wildfire-detection-first/firms_daily_geotiff/2020-09-10.tif,1056,1153,float32,EPSG:4326,4435,4435,1.0,1,8.0,100.0,82.02372741699219,300.20001220703125,476.3999938964844,338.84942626953125
2020-08-19,gs://wildfire-detection-first/firms_daily_geotiff/2020-08-19.tif,1056,1153,float32,EPSG:4326,4145,4145,1.0,1,9.0,100.0,88.43379974365234,301.1000061035156,500.0,364.0813293457031
2020-09-14,gs://wildfire-detection-first/firms_daily_geotiff/2020-09-14.tif,1056,1153,float32,EPSG:4326,3979,3979,1.0,1,6.0,100.0,82.42259979248047,300.0,505.3999938964844,354.29266357421875
2020-09-13,gs://wildfire-detection-first/firms_daily_geotiff/2020-09-13.tif,1056,1153,float32,EPSG:4326,3815,3815,1.0,1,8.0,100.0,80.90629577636719,300.1000061035156,500.0,350.7100830078125
2020-09-12,gs://wildfire-detection-first/firms_daily_geotiff/2020-09-12.tif,1056,1153,float32,EPSG:4326,3667,3667,1.0,1,2.0,100.0,77.04946899414062,300.29998779296875,503.70001220703125,340.90045166015625
2020-09-07,gs://wildfire-detection-first/firms_daily_geotiff/2020-09-07.tif,1056,1153,float32,EPSG:4326,3548,3548,1.0,1,11.0,100.0,87.25904083251953,301.3999938964844,506.0,369.6839294433594
2021-08-17,gs://wildfire-detection-first/firms_daily_geotiff/2021-08-17.tif,1056,1153,float32,EPSG:4326,3501,3501,1.0,1,7.0,100.0,86.77841186523438,300.5,504.8999938964844,361.8771667480469
2021-08-18,gs://wildfire-detection-first/firms_daily_geotiff/2021-08-18.tif,1056,1153,float32,EPSG:4326,3482,3482,1.0,1,4.0,100.0,87.4681625366211,300.1000061035156,500.0,366.11724853515625
2020-09-15,gs://wildfire-detection-first/firms_daily_geotiff/2020-09-15.tif,1056,1153,float32,EPSG:4326,3458,3458,1.0,1,5.0,100.0,75.85395812988281,300.1000061035156,503.79998779296875,341.2677001953125
2020-09-16,gs://wildfire-detection-first/firms_daily_geotiff/2020-09-16.tif,1056,1153,float32,EPSG:4326,3453,3453,1.0,1,4.0,100.0,79.66724395751953,300.5,506.3999938964844,350.6878662109375
2021-08-19,gs://wildfire-detection-first/firms_daily_geotiff/2021-08-19.tif,1056,1153,float32,EPSG:4326,3317,3317,1.0,1,8.0,100.0,83.15440368652344,300.20001220703125,500.0,344.247802734375
2020-09-28,gs://wildfire-detection-first/firms_daily_geotiff/2020-09-28.tif,1056,1153,float32,EPSG:4326,3288,3288,1.0,1,10.0,100.0,86.38028717041016,300.3999938964844,504.29998779296875,358.7801208496094
2020-09-11,gs://wildfire-detection-first/firms_daily_geotiff/2020-09-11.tif,1056,1153,float32,EPSG:4326,3283,3283,1.0,1,6.0,100.0,72.91608428955078,300.0,471.29998779296875,332.18023681640625
2020-09-06,gs://wildfire-detection-first/firms_daily_geotiff/2020-09-06.tif,1056,1153,float32,EPSG:4326,3134,3134,1.0,1,8.0,100.0,85.61263275146484,300.1000061035156,469.3999938964844,349.7138366699219
2020-09-17,gs://wildfire-detection-first/firms_daily_geotiff/2020-09-17.tif,1056,1153,float32,EPSG:4326,3114,3114,1.0,1,3.0,100.0,80.64692687988281,300.1000061035156,503.20001220703125,342.84942626953125
2020-08-21,gs://wildfire-detection-first/firms_daily_geotiff/2020-08-21.tif,1056,1153,float32,EPSG:4326,3090,3090,1.0,1,7.0,100.0,78.0873794555664,300.20001220703125,439.70001220703125,334.575927734375
2021-08-31,gs://wildfire-detection-first/firms_daily_geotiff/2021-08-31.tif,1056,1153,float32,EPSG:4326,2926,2926,1.0,1,5.0,100.0,80.18762969970703,300.0,500.0,352.7206726074219
2021-08-06,gs://wildfire-detection-first/firms_daily_geotiff/2021-08-06.tif,1056,1153,float32,EPSG:4326,2799,2799,1.0,1,3.0,100.0,78.82467651367188,300.0,440.20001220703125,336.7118225097656
2021-08-05,gs://wildfire-detection-first/firms_daily_geotiff/2021-08-05.tif,1056,1153,float32,EPSG:4326,2796,2796,1.0,1,2.0,100.0,89.74658203125,300.0,508.70001220703125,381.720458984375
2021-08-20,gs://wildfire-detection-first/firms_daily_geotiff/2021-08-20.tif,1056,1153,float32,EPSG:4326,2759,2759,1.0,1,4.0,100.0,76.43863677978516,300.0,507.70001220703125,338.13372802734375
2021-08-21,gs://wildfire-detection-first/firms_daily_geotiff/2021-08-21.tif,1056,1153,float32,EPSG:4326,2737,2737,1.0,1,3.0,100.0,81.252197265625,300.1000061035156,508.5,347.8246765136719
2021-08-16,gs://wildfire-detection-first/firms_daily_geotiff/2021-08-16.tif,1056,1153,float32,EPSG:4326,2556,2556,1.0,1,7.0,100.0,87.53534698486328,300.20001220703125,508.5,371.5431213378906
2021-08-30,gs://wildfire-detection-first/firms_daily_geotiff/2021-08-30.tif,1056,1153,float32,EPSG:4326,2539,2539,1.0,1,6.0,100.0,85.38258361816406,301.5,508.79998779296875,365.7886047363281
2021-08-29,gs://wildfire-detection-first/firms_daily_geotiff/2021-08-29.tif,1056,1153,float32,EPSG:4326,2452,2452,1.0,1,8.0,100.0,78.37357330322266,300.3999938964844,500.0,345.2872619628906
2020-09-21,gs://wildfire-detection-first/firms_daily_geotiff/2020-09-21.tif,1056,1153,float32,EPSG:4326,2441,2441,1.0,1,3.0,100.0,78.1024169921875,300.29998779296875,505.1000061035156,345.00054931640625
2017-10-09,gs://wildfire-detection-first/firms_daily_geotiff/2017-10-09.tif,1056,1153,float32,EPSG:4326,2426,2426,1.0,1,16.0,100.0,89.19727325439453,300.20001220703125,500.0,360.5603332519531
2020-09-05,gs://wildfire-detection-first/firms_daily_geotiff/2020-09-05.tif,1056,1153,float32,EPSG:4326,2391,2391,1.0,1,1.0,100.0,84.03461456298828,300.3999938964844,504.79998779296875,357.70037841796875
