cell_id,latitude,longitude,elevation,slope,aspect,hillshade,tri,tpi
32.75_-117.25,32.75,-117.25,6.462280750274658,1.8127833604812622,173.42762756347656,181.2085723876953,1.109946846961975,-0.06844444572925568
32.75_-117.00,32.75,-117.0,136.8963623046875,6.62451171875,121.31108856201172,191.47293090820312,3.165515184402466,-0.16170185804367065
32.75_-116.75,32.75,-116.75,648.661865234375,6.5774946212768555,115.27208709716797,187.68972778320312,2.9957361221313477,-0.3430228531360626
32.75_-116.50,32.75,-116.5,997.571533203125,4.288002014160156,280.2049255371094,169.4998016357422,1.8892885446548462,-0.6411646008491516
32.75_-116.25,32.75,-116.25,1122.5771484375,20.326358795166016,187.60736083984375,160.21475219726562,9.175589561462402,6.832944393157959
32.75_-116.00,32.75,-116.0,119.88606262207031,1.4097671508789062,260.4391174316406,177.8448028564453,0.6099812984466553,0.0537966713309288
32.75_-115.75,32.75,-115.75,-9.808627128601074,0.30088871717453003,202.4552001953125,180.18051147460938,0.19366024434566498,0.01628054864704609
32.75_-115.50,32.75,-115.5,-6.9787139892578125,0.4033905565738678,194.1453399658203,180.58779907226562,0.25302812457084656,-0.019946202635765076
32.75_-115.25,32.75,-115.25,11.156983375549316,0.8361875414848328,111.68148040771484,181.437744140625,0.41858306527137756,-0.09583780914545059
32.75_-115.00,32.75,-115.0,46.431854248046875,0.513507604598999,171.2105255126953,180.50489807128906,0.30849963426589966,0.08892343193292618
32.75_-114.75,32.75,-114.75,82.75343322753906,1.1616970300674438,259.57861328125,178.14442443847656,0.6069173812866211,-0.24714361131191254
33.00_-117.25,33.0,-117.25,68.41905975341797,7.70758056640625,120.90042877197266,189.39431762695312,4.030342102050781,-1.1108148097991943
33.00_-117.00,33.0,-117.0,376.5505676269531,18.03153419494629,151.4491729736328,170.68890380859375,8.943995475769043,-7.075882911682129
33.00_-116.75,33.0,-116.75,466.7779846191406,16.495107650756836,244.2038116455078,143.6557159423828,8.108711242675781,-5.666691303253174
33.00_-116.50,33.0,-116.5,1222.73486328125,17.265840530395508,154.9659423828125,198.76095581054688,7.9400954246521,3.221733570098877
33.00_-116.25,33.0,-116.25,601.1116943359375,19.261690139770508,190.4855194091797,152.55784606933594,10.174345016479492,-0.8519175052642822
33.00_-116.00,33.0,-116.0,314.9627990722656,19.63799476623535,202.6925506591797,182.35955810546875,9.865019798278809,-0.01410303171724081
33.00_-115.75,33.0,-115.75,25.561466217041016,4.188393592834473,194.76771545410156,181.38026428222656,1.9245610237121582,1.3405814170837402
33.00_-115.50,33.0,-115.5,-42.45217514038086,0.38017913699150085,195.24948120117188,180.35882568359375,0.25269219279289246,0.0013492027064785361
33.00_-115.25,33.0,-115.25,28.39255142211914,0.5779772996902466,179.26121520996094,180.4232940673828,0.33883169293403625,0.011566138826310635
33.00_-115.00,33.0,-115.0,159.6277313232422,0.6712855696678162,59.88970947265625,180.73179626464844,0.30983808636665344,-0.007612116169184446
33.00_-114.75,33.0,-114.75,287.7772521972656,6.835672378540039,188.38180541992188,171.76812744140625,3.329710006713867,0.8878867030143738
33.00_-114.50,33.0,-114.5,56.174678802490234,0.938960075378418,175.66954040527344,179.7610321044922,0.5257567763328552,-0.4840525984764099
33.25_-119.50,33.25,-119.5,193.54173278808594,6.719186305999756,230.48141479492188,176.80392456054688,2.8455827236175537,-0.7175142765045166
33.25_-117.25,33.25,-117.25,73.76495361328125,5.058472633361816,121.9266357421875,186.52545166015625,2.3393752574920654,0.43424296379089355
33.25_-117.00,33.25,-117.0,511.4187316894531,10.96558666229248,207.84629821777344,160.20474243164062,4.869195461273193,1.3533031940460205
33.25_-116.75,33.25,-116.75,812.9268188476562,1.250410556793213,168.03570556640625,179.68408203125,0.7007546424865723,-0.04290134087204933
33.25_-116.50,33.25,-116.5,1685.85693359375,21.94769287109375,159.07713317871094,162.82669067382812,9.83639144897461,-4.2190165519714355
33.25_-116.25,33.25,-116.25,253.51266479492188,8.1647310256958,169.00765991210938,163.36241149902344,3.93131160736084,-1.2169055938720703
33.25_-116.00,33.25,-116.0,-6.279850482940674,2.572016954421997,216.09376525878906,178.7148895263672,1.4457523822784424,-0.27390649914741516
33.25_-115.75,33.25,-115.75,-71.5,0.0,180.0,180.31222534179688,0.0,0.0
33.25_-115.50,33.25,-115.5,-23.51129150390625,0.760090708732605,66.95967864990234,180.74476623535156,0.356902152299881,0.054783403873443604
33.25_-115.25,33.25,-115.25,442.4886474609375,12.934741020202637,195.5694580078125,176.49822998046875,6.195521831512451,-2.3279476165771484
33.25_-115.00,33.25,-115.0,323.31634521484375,0.8334357142448425,217.65283203125,180.62574768066406,0.4094310700893402,-0.025188220664858818
33.25_-114.75,33.25,-114.75,130.68984985351562,3.252237558364868,214.3014373779297,181.10919189453125,1.7070505619049072,0.3640340268611908
33.50_-117.50,33.5,-117.5,336.8092041015625,15.182066917419434,126.55137634277344,177.07115173339844,7.795881748199463,-0.9833428263664246
33.50_-117.25,33.5,-117.25,403.6405334472656,8.823113441467285,268.8420715332031,155.70755004882812,4.127833366394043,-1.8493396043777466
33.50_-117.00,33.5,-117.0,477.4647521972656,28.218101501464844,161.8550567626953,220.66065979003906,14.599239349365234,-4.168130874633789
33.50_-116.75,33.5,-116.75,1194.28466796875,3.876906633377075,149.24864196777344,189.6823272705078,1.7294360399246216,-0.009307242929935455
33.50_-116.50,33.5,-116.5,1378.975830078125,22.38245391845703,127.21012878417969,139.88743591308594,11.015202522277832,-2.632991313934326
33.50_-116.25,33.5,-116.25,685.9227905273438,32.01960372924805,139.82801818847656,214.848876953125,15.985785484313965,2.939635753631592
33.50_-116.00,33.5,-116.0,-71.5,0.0,180.0,180.31222534179688,0.0,0.0
33.50_-115.75,33.5,-115.75,65.86849975585938,1.711769700050354,70.01056671142578,182.48643493652344,0.677819013595581,0.04725511372089386
33.50_-115.50,33.5,-115.5,684.1891479492188,6.226437091827393,198.8838348388672,177.92367553710938,3.1422524452209473,-0.43970081210136414
33.50_-115.25,33.5,-115.25,610.0055541992188,7.313777923583984,231.6690216064453,170.66769409179688,4.02340030670166,-0.227790966629982
33.50_-115.00,33.5,-115.0,355.3333435058594,22.92938995361328,197.70848083496094,181.23062133789062,11.123343467712402,-1.7922585010528564
33.50_-114.75,33.5,-114.75,90.29349517822266,2.4532477855682373,222.5648193359375,176.6505584716797,1.2365440130233765,-0.6601078510284424
33.75_-118.25,33.75,-118.25,1.8315167427062988,1.6663159132003784,158.26278686523438,179.19915771484375,0.9453119039535522,-0.19274064898490906
33.75_-118.00,33.75,-118.0,11.578015327453613,4.04677152633667,178.36843872070312,179.6757049560547,2.2638604640960693,0.0798029750585556
33.75_-117.75,33.75,-117.75,170.68312072753906,14.472051620483398,119.63392639160156,210.00746154785156,6.348409652709961,0.6103977560997009
33.75_-117.50,33.75,-117.5,504.5752868652344,27.361661911010742,163.5225830078125,200.51112365722656,13.772997856140137,-4.584553241729736
33.75_-117.25,33.75,-117.25,452.6058654785156,5.823757171630859,212.8193817138672,169.83642578125,2.84203839302063,-0.32236209511756897
33.75_-117.00,33.75,-117.0,470.002197265625,1.7964184284210205,170.2099609375,180.89065551757812,1.1297023296356201,-0.01789100654423237
33.75_-116.75,33.75,-116.75,1820.242919921875,16.614776611328125,119.81267547607422,171.0986328125,7.602019786834717,3.4345507621765137
33.75_-116.50,33.75,-116.5,467.2888488769531,4.435715198516846,104.18575286865234,174.18490600585938,1.995597243309021,-1.161550760269165
33.75_-116.25,33.75,-116.25,7.212736129760742,0.7518413662910461,207.883056640625,179.1876678466797,0.4308450520038605,-0.17334377765655518
33.75_-116.00,33.75,-116.0,904.8906860351562,16.1363468170166,178.44581604003906,156.3583221435547,7.598130702972412,-2.5156595706939697
33.75_-115.75,33.75,-115.75,1539.279541015625,14.67117691040039,191.00550842285156,164.21656799316406,6.869820594787598,7.672019958496094
33.75_-115.50,33.75,-115.5,568.7149047851562,24.874832153320312,225.3019256591797,159.74327087402344,11.897198677062988,-2.680694580078125
33.75_-115.25,33.75,-115.25,138.965576171875,0.792885959148407,198.89903259277344,179.96031188964844,0.508913516998291,-0.06671905517578125
33.75_-115.00,33.75,-115.0,210.8657989501953,1.4994242191314697,317.5074157714844,175.7373504638672,0.6638038158416748,-0.01610080525279045
33.75_-114.75,33.75,-114.75,175.63742065429688,0.5576397180557251,198.52337646484375,179.14984130859375,0.29993829131126404,-0.019887996837496758
34.00_-120.25,34.0,-120.25,0.3982982933521271,0.6521980166435242,171.28355407714844,180.02243041992188,0.37034884095191956,-0.22166116535663605
34.00_-119.75,34.0,-119.75,290.1433410644531,21.2520751953125,218.0901336669922,145.3416290283203,10.259984970092773,1.0866384506225586
34.00_-119.50,34.0,-119.5,0.0,0.0,180.0,180.31222534179688,0.0,0.0
34.00_-118.25,34.0,-118.25,58.476009368896484,0.9713847041130066,183.66085815429688,179.75802612304688,0.65238356590271,-0.020502528175711632
34.00_-118.00,34.0,-118.0,309.8872375488281,19.91031265258789,198.09857177734375,181.39694213867188,10.07020092010498,-1.669866681098938
34.00_-117.75,34.0,-117.75,281.4506530761719,10.813191413879395,139.98793029785156,170.25942993164062,5.162103652954102,-0.6584076881408691
34.00_-117.50,34.0,-117.5,222.913330078125,1.1667609214782715,173.00975036621094,179.58236694335938,0.759371817111969,0.018879026174545288
34.00_-117.25,34.0,-117.25,561.8970947265625,14.505879402160645,184.8196258544922,196.80836486816406,7.077510356903076,-5.289379596710205
34.00_-117.00,34.0,-117.0,1054.2303466796875,19.99170684814453,92.94902038574219,194.613525390625,8.992775917053223,-2.8035807609558105
34.00_-116.75,34.0,-116.75,1633.5833740234375,35.24870681762695,199.69039916992188,151.84744262695312,18.78531837463379,-14.285909652709961
34.00_-116.50,34.0,-116.5,626.865234375,20.298152923583984,204.74847412109375,137.83839416503906,9.367960929870605,-0.09472667425870895
34.00_-116.25,34.0,-116.25,1663.0693359375,18.083786010742188,213.60336303710938,150.37660217285156,8.333251953125,2.020008087158203
34.00_-116.00,34.0,-116.0,1352.1541748046875,18.145322799682617,132.1941375732422,157.74838256835938,8.41844367980957,4.175458908081055
34.00_-115.75,34.0,-115.75,626.7257690429688,2.929957866668701,189.4400634765625,180.9451446533203,1.4303802251815796,0.6187326312065125
34.00_-115.50,34.0,-115.5,411.0564880371094,1.1498782634735107,102.33273315429688,178.77127075195312,0.5745754837989807,-0.09544673562049866
34.00_-115.25,34.0,-115.25,299.5132751464844,1.5953633785247803,48.74146270751953,180.53878784179688,0.6989784836769104,-0.06882932037115097
34.00_-115.00,34.0,-115.0,371.8370361328125,3.6212198734283447,117.65989685058594,183.1454315185547,1.6504429578781128,0.5646788477897644
34.00_-114.75,34.0,-114.75,219.25221252441406,1.4715043306350708,150.6519317626953,181.16424560546875,0.9516964554786682,0.04808590188622475
34.00_-114.50,34.0,-114.5,191.24302673339844,18.896394729614258,202.98272705078125,147.52621459960938,9.947199821472168,0.1317228525876999
34.25_-119.25,34.25,-119.25,11.810760498046875,0.5072916746139526,75.07317352294922,180.09500122070312,0.25931069254875183,-0.018591681495308876
34.25_-119.00,34.25,-119.0,74.79740142822266,2.40170955657959,191.5050811767578,178.18475341796875,1.3082730770111084,-0.7514169216156006
34.25_-118.75,34.25,-118.75,329.2586364746094,13.315857887268066,162.8201446533203,189.75860595703125,6.219563007354736,1.133721113204956
34.25_-118.50,34.25,-118.5,281.0553894042969,1.5099726915359497,201.3997802734375,178.18650817871094,1.0050461292266846,-0.004856853745877743
34.25_-118.25,34.25,-118.25,732.968994140625,19.337955474853516,154.8174591064453,151.2476043701172,9.732815742492676,-0.7897603511810303
34.25_-118.00,34.25,-118.0,938.6119384765625,30.337081909179688,113.73945617675781,177.4588623046875,15.346095085144043,6.258276462554932
34.25_-117.75,34.25,-117.75,998.264404296875,30.372604370117188,152.50332641601562,135.8450164794922,15.394404411315918,-7.483860492706299
34.25_-117.50,34.25,-117.5,1070.9200439453125,31.676862716674805,296.2423095703125,72.53001403808594,15.639103889465332,5.059781074523926
34.25_-117.25,34.25,-117.25,1638.7646484375,22.31820297241211,97.45341491699219,211.02413940429688,10.116853713989258,5.318588733673096
34.25_-117.00,34.25,-117.0,2241.19189453125,29.18472671508789,277.3484191894531,88.39744567871094,13.68169116973877,6.862146377563477
34.25_-116.75,34.25,-116.75,2050.9248046875,15.999785423278809,216.8563232421875,168.20970153808594,7.3416290283203125,0.8061178922653198
34.25_-116.50,34.25,-116.5,1256.96044921875,2.384249687194824,267.1690979003906,174.319580078125,1.0201581716537476,0.4387308359146118
34.25_-116.25,34.25,-116.25,822.4607543945312,2.0437984466552734,300.3023376464844,174.0548553466797,0.8437204360961914,-0.08533944189548492
34.25_-116.00,34.25,-116.0,592.4881591796875,1.9714263677597046,281.9844665527344,175.79856872558594,0.9531665444374084,-0.3214060068130493
34.25_-115.75,34.25,-115.75,807.6243286132812,5.403497219085693,238.40101623535156,174.4140167236328,2.421621799468994,-0.0619075782597065
34.25_-115.50,34.25,-115.5,509.87298583984375,28.58824348449707,247.8001251220703,129.16250610351562,14.168344497680664,1.8017834424972534
34.25_-115.25,34.25,-115.25,270.1378479003906,7.931024551391602,248.4303741455078,169.7419891357422,3.7546138763427734,-0.9214253425598145
34.25_-115.00,34.25,-115.0,278.21630859375,1.6524293422698975,81.94224548339844,183.33929443359375,0.6326508522033691,0.00022092342260293663
34.25_-114.75,34.25,-114.75,574.9317016601562,1.41464102268219,290.5738220214844,176.62335205078125,0.6657155156135559,-0.49276161193847656
34.25_-114.50,34.25,-114.5,400.22772216796875,4.792703628540039,186.4790802001953,175.45065307617188,2.371156930923462,0.3347834050655365
34.25_-114.25,34.25,-114.25,238.2267608642578,10.186861038208008,199.197509765625,166.80264282226562,5.056760311126709,-2.93684720993042
34.50_-120.25,34.5,-120.25,132.22764587402344,13.876879692077637,167.75390625,174.53115844726562,6.598563194274902,-4.705497741699219
34.50_-120.00,34.5,-120.0,367.043701171875,22.673349380493164,126.24608612060547,205.08221435546875,11.139406204223633,0.9792284965515137
34.50_-119.75,34.5,-119.75,855.4759521484375,28.308942794799805,216.96426391601562,115.2871322631836,13.166606903076172,-6.228960990905762
34.50_-119.50,34.5,-119.5,707.3773193359375,10.476106643676758,173.54335021972656,172.0797119140625,4.564645767211914,-2.327164888381958
34.50_-119.25,34.5,-119.25,1157.593994140625,30.655515670776367,186.54000854492188,185.40704345703125,15.72433090209961,0.8196603059768677
34.50_-119.00,34.5,-119.0,1317.255615234375,12.85123062133789,240.10316467285156,169.67295837402344,6.436300277709961,1.4566415548324585
34.50_-118.75,34.5,-118.75,450.0481872558594,35.17909622192383,125.49412536621094,184.5424041748047,19.112646102905273,-8.910916328430176
34.50_-118.50,34.5,-118.5,570.0191650390625,20.857345581054688,165.37611389160156,161.3312530517578,10.176509857177734,-3.290480852127075
34.50_-118.25,34.5,-118.25,1053.1044921875,16.086780548095703,123.05709838867188,188.7439727783203,7.674583435058594,3.4167842864990234
34.50_-118.00,34.5,-118.0,993.285400390625,9.667461395263672,200.1419677734375,182.566162109375,4.809195518493652,-2.3107917308807373
34.50_-117.75,34.5,-117.75,1033.7864990234375,1.9001930952072144,183.7599639892578,184.070068359375,0.9042490720748901,-0.014449289999902248
34.50_-117.50,34.5,-117.5,1010.7001342773438,1.1759716272354126,199.65093994140625,181.58169555664062,0.5691367983818054,-0.02557937428355217
34.50_-117.25,34.5,-117.25,863.5335083007812,1.3105189800262451,157.52548217773438,181.49307250976562,0.864557147026062,0.15204310417175293
34.50_-117.00,34.5,-117.0,890.7412109375,3.18277645111084,311.3033142089844,170.4944305419922,1.3806573152542114,-0.7363312244415283
34.50_-116.75,34.5,-116.75,977.3989868164062,1.3474785089492798,81.79332733154297,178.91416931152344,0.623457670211792,-0.188579261302948
34.50_-116.50,34.5,-116.5,870.61376953125,2.2747151851654053,256.80999755859375,176.39990234375,0.8771636486053467,-0.24804314970970154
34.50_-116.25,34.5,-116.25,1060.8973388671875,13.163070678710938,106.4219741821289,185.67945861816406,5.769826412200928,1.066691517829895
34.50_-116.00,34.5,-116.0,460.5151062011719,3.073354959487915,196.8798828125,184.38003540039062,1.422930121421814,-0.39810818433761597
34.50_-115.75,34.5,-115.75,183.09568786621094,0.2580539882183075,157.94126892089844,180.00790405273438,0.14687584340572357,-0.03524729236960411
34.50_-115.50,34.5,-115.5,244.2940673828125,0.9380580186843872,150.13058471679688,181.10415649414062,0.5233422517776489,-0.03066175803542137
34.50_-115.25,34.5,-115.25,686.0457153320312,5.381275653839111,80.0329360961914,186.61746215820312,2.3972411155700684,-1.2565189599990845
34.50_-115.00,34.5,-115.0,475.6568603515625,1.6073564291000366,302.98785400390625,175.3507537841797,0.6701369285583496,0.00572555884718895
34.50_-114.75,34.5,-114.75,401.0114440917969,0.5360004901885986,242.72622680664062,179.58096313476562,0.2887788712978363,-0.028460172936320305
34.50_-114.50,34.5,-114.5,345.6592102050781,5.992802143096924,231.97984313964844,170.08802795410156,3.066195249557495,0.2456977516412735
34.75_-120.50,34.75,-120.5,182.06724548339844,2.228752613067627,117.06175231933594,178.4158172607422,1.074313998222351,-0.06611387431621552
34.75_-120.25,34.75,-120.25,235.58981323242188,11.492815017700195,166.97743225097656,187.4925994873047,5.723315238952637,2.401141881942749
34.75_-120.00,34.75,-120.0,799.92041015625,30.030765533447266,149.27806091308594,165.99107360839844,15.585559844970703,-8.204856872558594
34.75_-119.75,34.75,-119.75,991.53857421875,23.532682418823242,178.96498107910156,203.2875213623047,11.9842529296875,4.530714988708496
34.75_-119.50,34.75,-119.5,1434.9644775390625,15.85197925567627,169.43136596679688,163.2181854248047,8.193024635314941,-0.2170816957950592
34.75_-119.25,34.75,-119.25,1413.2113037109375,22.393165588378906,216.72035217285156,126.25434112548828,11.27175521850586,2.2523019313812256
34.75_-119.00,34.75,-119.0,2075.479248046875,15.619951248168945,209.54893493652344,141.5426025390625,7.270962238311768,3.8281826972961426
34.75_-118.75,34.75,-118.75,1270.8447265625,18.712133407592773,102.32171630859375,167.21253967285156,8.852640151977539,0.7175778150558472
34.75_-118.50,34.75,-118.5,915.7188110351562,1.8001526594161987,191.48086547851562,183.24839782714844,0.8506727814674377,0.039535000920295715
34.75_-118.25,34.75,-118.25,721.2809448242188,0.4308800995349884,222.3070068359375,179.87115478515625,0.25250571966171265,0.025189265608787537
34.75_-118.00,34.75,-118.0,714.3407592773438,0.5079968571662903,174.67019653320312,180.8502197265625,0.32945722341537476,0.002353436779230833
34.75_-117.75,34.75,-117.75,915.5602416992188,1.1359971761703491,136.46780395507812,181.1016845703125,0.5740442872047424,-0.17673778533935547
34.75_-117.50,34.75,-117.5,922.117919921875,3.693049430847168,196.95697021484375,185.5438995361328,1.78451669216156,-0.7308753132820129
34.75_-117.25,34.75,-117.25,775.6649780273438,0.9984837174415588,150.0299530029297,183.0364227294922,0.4782980680465698,-0.02351369336247444
34.75_-117.00,34.75,-117.0,890.9534301757812,0.9806477427482605,139.49427795410156,182.9893035888672,0.506198525428772,-0.018770355731248856
34.75_-116.75,34.75,-116.75,1274.951171875,8.167341232299805,149.38168334960938,172.54385375976562,3.5635242462158203,0.9699117541313171
34.75_-116.50,34.75,-116.5,687.470703125,2.602571725845337,190.9621124267578,184.6598663330078,1.2174479961395264,-0.021439185366034508
34.75_-116.25,34.75,-116.25,661.7987060546875,2.4519786834716797,274.523193359375,173.5624542236328,1.0913978815078735,-0.03653065860271454
34.75_-116.00,34.75,-116.0,730.1503295898438,7.724132537841797,138.97476196289062,187.3279571533203,3.784701347351074,-0.344986230134964
34.75_-115.75,34.75,-115.75,1068.367431640625,8.027640342712402,133.98777770996094,167.27574157714844,3.4613325595855713,-0.7294391989707947
34.75_-115.50,34.75,-115.5,765.1923828125,1.3100287914276123,156.93359375,181.10568237304688,0.5699462890625,-0.40167978405952454
34.75_-115.25,34.75,-115.25,534.7449951171875,0.9246091842651367,133.6103515625,179.9296417236328,0.4596540033817291,-0.010835938155651093
34.75_-115.00,34.75,-115.0,671.2662963867188,1.9622182846069336,269.22930908203125,176.09075927734375,0.7660497426986694,-0.1445775181055069
34.75_-114.75,34.75,-114.75,615.0098876953125,7.742847919464111,158.47337341308594,177.48448181152344,3.7923331260681152,-0.6694082617759705
35.00_-120.50,35.0,-120.5,44.07487487792969,0.31884345412254333,134.3404541015625,180.82142639160156,0.18046247959136963,0.04875827580690384
35.00_-120.25,35.0,-120.25,594.2440185546875,20.482990264892578,114.72358703613281,211.7268829345703,9.339956283569336,-0.34409013390541077
35.00_-120.00,35.0,-120.0,1360.1116943359375,29.64362144470215,237.23020935058594,134.781005859375,13.808884620666504,-2.4659409523010254
35.00_-119.75,35.0,-119.75,806.7977905273438,28.196495056152344,144.80679321289062,148.94378662109375,13.83315372467041,1.0509687662124634
35.00_-119.50,35.0,-119.5,858.0693969726562,3.663447380065918,262.7333984375,171.54443359375,1.737776756286621,-0.5589800477027893
35.00_-119.25,35.0,-119.25,361.2934875488281,2.5109522342681885,207.7332305908203,182.38356018066406,1.1349908113479614,-0.008583280257880688
35.00_-119.00,35.0,-119.0,443.9366455078125,12.48606014251709,255.0952606201172,150.03231811523438,6.191645622253418,-0.3677472174167633
35.00_-118.75,35.0,-118.75,566.7289428710938,19.190181732177734,133.11605834960938,194.94651794433594,9.792312622070312,-2.6843929290771484
35.00_-118.50,35.0,-118.5,2066.412353515625,19.732393264770508,208.52914428710938,132.73614501953125,9.35313892364502,9.988286018371582
35.00_-118.25,35.0,-118.25,937.0240478515625,1.1823968887329102,295.50030517578125,176.99119567871094,0.5163660049438477,0.05977090448141098
35.00_-118.00,35.0,-118.0,777.8449096679688,1.537221074104309,186.93563842773438,178.291015625,0.7221923470497131,-0.004803159739822149
35.00_-117.75,35.0,-117.75,710.2719116210938,0.869415819644928,160.66677856445312,180.42782592773438,0.5962733030319214,0.06975415349006653
35.00_-117.50,35.0,-117.5,738.62939453125,1.751799464225769,123.787841796875,178.83139038085938,0.860406219959259,-0.0010400393512099981
35.00_-117.25,35.0,-117.25,628.5631103515625,1.2286481857299805,185.89151000976562,182.55165100097656,0.6233331561088562,0.13160774111747742
35.00_-117.00,35.0,-117.0,837.5904541015625,1.7003263235092163,316.4339904785156,175.32388305664062,0.7926132678985596,-0.10101304203271866
35.00_-116.75,35.0,-116.75,543.4146118164062,0.5951443314552307,199.66720581054688,180.92308044433594,0.3064749836921692,-0.08191027492284775
35.00_-116.50,35.0,-116.5,537.3482666015625,3.5103139877319336,202.56756591796875,175.56947326660156,1.7483348846435547,-0.15934179723262787
35.00_-116.25,35.0,-116.25,416.7741394042969,2.8915939331054688,236.12100219726562,177.90216064453125,1.5291258096694946,0.19116584956645966
